QUARTER,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,AIRPORT,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2,7,2019-04-14,OO,3671,Malone,"Savannah, GA",2118,2202.0,44.0,2.0,21,3,0.0,0.0,23.0,0.0,44.0
2,7,2019-04-14,OO,3682,Malone,"Richmond, VA",2100,2359.0,179.0,11.0,21,2,0.0,0.0,0.0,0.0,158.0
2,7,2019-04-14,OO,3740,Malone,"Greensboro/High Point, NC",2030,2148.0,78.0,5.0,20,2,0.0,0.0,6.0,0.0,78.0
2,7,2019-04-14,OO,3763,Malone,"Chicago, IL",2015,2302.0,167.0,11.0,20,3,0.0,0.0,11.0,0.0,167.0
2,7,2019-04-14,OO,3828,Malone,"Cleveland, OH",1345,1411.0,26.0,1.0,13,2,0.0,0.0,0.0,0.0,23.0
2,7,2019-04-14,OO,3834,JFK,"Nashville, TN",1815,1814.0,-1.0,-1.0,18,4,0.0,0.0,69.0,0.0,0.0
2,7,2019-04-14,OO,3846,Malone,"Cleveland, OH",1133,1603.0,270.0,12.0,11,2,0.0,0.0,139.0,0.0,167.0
2,7,2019-04-14,OO,3853,Malone,"Nashville, TN",1629,1749.0,80.0,5.0,16,4,0.0,0.0,0.0,0.0,69.0
2,7,2019-04-14,OO,3861,Malone,"Nashville, TN",1849,1958.0,69.0,4.0,18,4,0.0,13.0,6.0,0.0,56.0
2,7,2019-04-14,OO,3863,Malone,"Nashville, TN",830,1036.0,126.0,8.0,8,4,110.0,0.0,0.0,0.0,0.0
2,7,2019-04-14,OO,3864,Malone,"Nashville, TN",1112,1245.0,93.0,6.0,11,4,0.0,0.0,0.0,0.0,63.0
